series,adf_p_level,transform_used,adf_p_after_transform
Interest_Rate,0.010051461658961938,level,0.010051461658961938
Inflation,0.024277801529185728,level,0.024277801529185728
GDP_Growth,0.34042453451127774,diff1,9.21842183108824e-12
