Year,scenario,forecast,lower80,upper80
2024,baseline,6.061598419029542,4.359269336408653,7.76392750165043
2025,baseline,6.2281686431427605,4.502225747458612,7.9541115388269095
2026,baseline,6.256008983877142,4.529411064633452,7.982606903120832
2024,hawkish,6.061598419029542,4.359269336408653,7.76392750165043
2025,hawkish,6.2281686431427605,4.502225747458612,7.9541115388269095
2026,hawkish,6.256008983877142,4.529411064633452,7.982606903120832
2024,dovish,6.061598419029542,4.359269336408653,7.76392750165043
2025,dovish,6.2281686431427605,4.502225747458612,7.9541115388269095
2026,dovish,6.256008983877142,4.529411064633452,7.982606903120832
