model,order,uses_exog,RMSE,MAE,MAPE
"ARIMA(1, 0, 0)","(1, 0, 0)",False,1.960409158043606,1.3363722048179558,30.860827491580768
"SARIMAX(1, 0, 0)","(1, 0, 0)",True,2.0313782920633146,1.3749898728192222,32.04023857644474
"ARIMA(2, 0, 0)","(2, 0, 0)",False,2.13650599219255,1.4138352428720036,32.09634432801106
"SARIMAX(2, 0, 0)","(2, 0, 0)",True,2.2416141634443267,1.4054721681591629,33.01787781660339
"ARIMA(1, 1, 0)","(1, 1, 0)",False,2.4305225159409543,1.4745972099443505,29.916461350861024
"SARIMAX(1, 1, 0)","(1, 1, 0)",True,2.4875468894637995,1.5524629430309973,30.83572779908796
"SARIMAX(0, 1, 1)","(0, 1, 1)",True,2.8013309223261307,1.7190006907067736,35.45330245072474
"ARIMA(0, 1, 1)","(0, 1, 1)",False,2.9833798155009443,1.9109026689986328,43.2158516973063
