variable,coef,std_err,p_value
const,0.060641147687366184,0.0022343040511894423,3.237669250337456e-162
d_Real_Interest,-0.00022021701136307263,0.0002745691644268631,0.4225265366164124
d_Inflation,8.483785922802364e-05,0.00035660394125020916,0.8119547804817819
d_FDI_pct_GDP,0.0008878180404030601,0.0010489532713217086,0.3973381493526438
d_Export_pct_GDP,0.00022061038876776393,0.0008606506359770358,0.7976962035580436
ecm_lag1,-0.01369799219367244,0.010362472658819379,0.18620660799590594
