Year,Interest_Rate,Inflation,GDP_Growth
2024,9.52931621704331,8.972329196959125,-4.793053323392999
2025,7.465571763124659,1.0566711771654465,4.3602234943945
2026,10.161203848571983,4.933082776453448,3.010533768858029
