model,nobs,adj_r2,aic,bic
Baseline HAC OLS,28.0,-0.006419141543266393,106.37533398937694,114.36856105042816
Augmented HAC OLS with dummies,28.0,0.6532902065746045,78.91791195570926,92.23995705746131
