causing,p_value,statistic,df
Interest_Rate,0.8844039077848102,0.12312128038757685,"(2, 54)"
Inflation,0.9747011300964251,0.025636551488141902,"(2, 54)"
Interest_Rate + Inflation,0.981915833383356,0.10024050749395488,"(4, 54)"
