calendar_year,n_quarters,mean_increment,std_increment,linearity_score_std_over_meanabs
1996,4,0.5456666666666669,0.0028867513459475544,0.005290320120856848
1997,4,0.0909999999999999,0.0010000000000012221,0.01098901098902443
1998,4,0.36733333333333346,0.00404145188432851,0.011002137616139317
1999,4,0.6203333333333335,0.0070237691685698265,0.011322572544712237
2000,4,0.3773333333333338,0.002309401076757223,0.006120320874798286
2001,4,0.5929999999999988,0.006000000000000227,0.010118043844857066
2002,4,1.1189999999999998,0.012000000000000455,0.01072386058981274
2003,4,1.4646666666666686,0.016502525059316066,0.011267085839314551
2004,4,3.045666666666667,0.01934769581457333,0.0063525322801488435
2005,4,2.1786666666666648,0.02350177298276521,0.010787227501269231
2006,4,2.753,0.030000000000001137,0.010897203051217268
2007,4,5.414333333333332,0.05950070027598392,0.010989478595576668
2008,4,1.7180000000000035,0.010392304845413657,0.006049071504897343
2009,4,10.26833333333333,0.11300147491662763,0.011004850665472585
2010,4,6.330999999999999,0.0689999999999884,0.010898752171850958
2011,4,5.73333333333333,0.06350065616459358,0.011075695842661677
2012,4,4.521333333333331,0.029160475533396207,0.006449530123871178
2013,4,4.921999999999997,0.054000000000002046,0.01097114993904959
2014,4,1.447999999999998,0.015999999999991132,0.011049723756899969
2015,4,4.4473333333333285,0.048500859098910394,0.010905604654229602
2016,4,6.053333333333323,0.037819747927937145,0.0062477557149676006
2017,4,7.168333333333332,0.07900210967645172,0.011020987167140442
2018,4,6.048333333333328,0.06650062656342652,0.010994867990646445
2019,4,3.054333333333337,0.03350124375800982,0.010968430784025903
2020,4,4.955666666666673,0.03146956201369823,0.006350217666045239
2021,4,11.710333333333324,0.12850032425380872,0.010973242229410677
2022,4,5.089333333333343,0.056002976111404985,0.011003990590399177
2023,4,10.603333333333333,0.11650035765324429,0.010987144701657745
2024,4,10.64233333333334,0.06726316475849983,0.006320339971669727
