window_end_year,const,Inflation,Interest_Rate,FDI_pct_GDP,Export_pct_GDP,Unemployment_Rate
2007,1.2012639292633622,-0.04431872656930491,0.24453138477960976,0.09007836520633089,0.05289606629360938,-0.1556747354914787
2008,2.1769934988970903,-0.010363794529505185,-0.10951095480122136,0.05344836226564975,0.04162297379043195,1.3839978152007095
2009,3.2533335307849036,0.004493825967698123,-0.04755551056345747,-0.24499988162554198,0.072983055367662,0.29330014191893694
2010,3.8730247148082526,-0.0201375652329141,-0.07236483278482417,-0.3014363892172749,0.10295173908883054,-0.5197139119973389
2011,3.903769019721514,-0.0256226740796148,-0.01200262829985127,-0.24831410365241702,0.07474733922089807,-0.11911179362756003
2012,6.150768417709202,0.07314389241139574,-0.17765569610394372,-0.23355889095812363,0.03976855864447882,0.29016287769894156
2013,0.5834251635918033,-0.10479935879506991,0.3718822483493585,-0.14617642108644774,0.003368703726045502,1.737911913736251
2014,4.060938765704364,-0.03190287835735106,0.12204960018717914,-0.16979406371975303,0.0010819335597422979,1.2466457405870206
2015,3.937790307411685,-0.06649384875082615,0.1626932555215833,-0.16525030070005428,-0.004588231121719855,1.4924537846937742
2016,2.4449220163482677,-0.08983562678654727,0.2110927389308207,-0.1468107710241803,0.014048573735466537,1.3741240311531462
2017,0.42398232021810145,-0.1205405617194687,0.262478530226129,-0.08067951321758571,0.04358018399975666,0.9612935528908504
2018,-0.6400718406358479,-0.13345436125958554,0.24646453271671342,0.054151298395202385,0.07418471203381999,0.008563912356967407
2019,3.8399523021155204,-0.005030407162030959,-0.014249299548602767,-0.08371046329537446,0.05073647757028879,-0.26220824428313705
2020,15.717574514153448,0.22564627394464898,-0.6647322341396346,0.24939875714614962,-0.016387524821854467,-2.9823546133085457
2021,13.471196027343538,0.3111252687227921,-0.7926312829862461,1.1941725612700365,-0.03736082080702296,-2.87387417333835
2022,5.680030550457552,0.09700243653607861,-0.3824494752153976,1.6273905922362442,0.029537822153339915,-3.9408363144023717
2023,9.408242573566561,-0.29022568556612627,-0.2592164614150869,1.3782929812375275,0.014978251959985651,-4.624267143482774
