interest_measure,nobs,coef_interest,p_value_interest,adj_r2,aic
Deposit_Rate,27,0.13799128183154247,8.006507324486173e-10,0.915684276314146,-24.38260728912664
Real_Interest,28,-0.006455497879852917,0.5236583829913852,0.8663773058344908,-10.43525929819522
Lending_Rate,28,0.010151568785139065,0.5971416687351647,0.8632500144473725,-9.787501069067233
