feature,mean,scale
gdp_raw,192.56500806451615,157.72589603775032
inflation,5.5563951612903235,4.407000446171662
interest_rate,10.981685483870967,3.3787783542589236
fdi_pct_gdp,5.141524193548386,1.6870972612062145
investment_pct_gdp,32.181233870967745,2.8032694912308487
export_pct_gdp,68.39866935483873,16.02151853970444
unemployment_rate,1.8504354838709678,0.4402850477327432
gov_spending_pct_gdp,8.265935483870969,1.7878142301828008
gdp_growth,6.605016129032259,1.3698373460300182
log_gdp,4.799547654107643,1.0510953844046542
gdp_qoq_pct_recalc,2.7134348259691508,1.7528226537392626
gdp_yoy_pct_recalc,11.477100690346905,6.787250851022696
inflation_lag1,5.5691300813008136,4.404736656767733
inflation_lag2,5.608225806451611,4.411281718573906
interest_rate_lag1,10.973845528455282,3.3776593943728974
interest_rate_lag2,11.163443548387098,3.7731198934945316
log_gdp_diff1,0.025809112344982264,0.017388657574909587
log_gdp_diff4,0.10366400160626979,0.0597161938550077
inflation_scaled,-0.011679738596815271,0.9858166281284614
interest_rate_scaled,0.009371474331942735,0.9850769875590938
fdi_pct_gdp_scaled,-0.018316718878581825,0.9888412416551915
investment_pct_gdp_scaled,-0.032135158672436055,0.9993607897906271
export_pct_gdp_scaled,0.054433262985670486,1.0279257458892102
unemployment_rate_scaled,-0.02461449776637823,0.9929341068231068
gov_spending_pct_gdp_scaled,0.011783397714100145,0.9858536348436975
log_gdp_raw,4.799547654107643,1.0510953844046542
log_fdi_pct_gdp,1.5936928276189624,0.2808793279833471
log_investment_pct_gdp,3.4676641286190013,0.0858656781522
log_export_pct_gdp,4.196327970160831,0.24522919962114104
log_gov_spending_pct_gdp,2.0869865237765155,0.2284487906751953
log_gdp_growth,1.8619483053043187,0.24189721707007797
log_log_gdp,1.5427793617528425,0.23095219384221588
real_interest_rate,5.425290322580646,3.868907526417615
n_comments,3037.032258064516,1424.7579587055836
n_unique_authors,2085.766129032258,958.5458922568262
like_sum,9409.75,4698.350773830282
like_mean,2.6198878782052475,1.102699699808248
avg_sentiment,0.03257339958770891,0.018087668874301473
median_sentiment,0.0,1.0
std_sentiment,0.21721754139791444,0.0949672533005162
positive_ratio,0.11052912488964287,0.07834375484858361
negative_ratio,0.0542203381633381,0.07104147096684832
neutral_ratio,0.835250536947019,0.14760118276160883
net_sentiment,0.05630878672630475,0.024148703675170476
weighted_sentiment_like,0.026386124004507048,0.02990055976255481
p10_sentiment,-0.048802983870967744,0.16542880834550144
p90_sentiment,0.07863612903225808,0.2166727728541497
gdp_raw_lag1,189.91078048780489,154.9546147274981
gdp_raw_lag4,181.682675,146.02980207169836
gdp_raw_diff1,4.043349593495935,3.3749543628545022
gdp_raw_diff4,16.52858333333333,12.072023252654644
gdp_raw_qoq_pct,0.026302757308306484,0.018070210206452386
gdp_raw_yoy_pct,0.11132324519421198,0.06886893544409468
inflation_lag4,5.608608333333334,4.397711504011313
inflation_diff1,-0.028756097560975646,1.2873049074956224
inflation_diff4,-0.08709166666666666,3.8794706219256776
interest_rate_lag4,10.949541666666669,3.374188260556119
interest_rate_diff1,-0.1010081300813008,0.5902709942972197
interest_rate_diff4,-0.34310000000000007,1.9208957310789723
interest_rate_qoq_pct,-0.004830948444573281,0.043131921363255936
interest_rate_yoy_pct,-0.0099485915567631,0.14106892215760303
fdi_pct_gdp_lag1,5.149146341463414,1.6849781068881482
fdi_pct_gdp_lag4,5.172775000000001,1.6783917247333011
fdi_pct_gdp_diff1,-0.037886178861788626,0.30889342569816686
fdi_pct_gdp_diff4,-0.1694583333333333,1.0846487605689519
fdi_pct_gdp_qoq_pct,-0.004659048276361871,0.05527012743223891
fdi_pct_gdp_yoy_pct,-0.0074836567277172215,0.22431129597755753
investment_pct_gdp_lag1,32.20321951219512,2.792644897723954
investment_pct_gdp_lag4,32.271375,2.7594487033045847
investment_pct_gdp_diff1,0.017040650406504064,0.4286711161021064
investment_pct_gdp_diff4,0.05785833333333333,1.4280801476098293
investment_pct_gdp_qoq_pct,0.0006793879408564944,0.012561205256575284
investment_pct_gdp_yoy_pct,0.0029506522331930237,0.04231677064091223
export_pct_gdp_lag1,68.19173983739839,15.856298995035317
export_pct_gdp_lag4,67.55025833333335,15.332808564504392
export_pct_gdp_diff1,0.48009756097560974,0.9925654802047567
export_pct_gdp_diff4,1.8674250000000001,3.3165381549540665
export_pct_gdp_qoq_pct,0.008228762745378064,0.01609600658318102
export_pct_gdp_yoy_pct,0.03222365919646593,0.052162433343864105
unemployment_rate_lag1,1.8530975609756097,0.43929405271658717
unemployment_rate_lag4,1.8613499999999998,0.4362076608532876
unemployment_rate_diff1,-0.0034634146341463445,0.09532958893829337
unemployment_rate_diff4,-0.013883333333333334,0.2958346907435161
unemployment_rate_qoq_pct,-0.000600684863924561,0.052577805235466575
unemployment_rate_yoy_pct,0.006175274459592074,0.16729063901757885
gov_spending_pct_gdp_lag1,8.260723577235773,1.7868795575636653
gov_spending_pct_gdp_lag4,8.244566666666667,1.7839789604092298
gov_spending_pct_gdp_diff1,0.005520325203252035,0.22574565867984775
gov_spending_pct_gdp_diff4,0.020558333333333338,0.7431448518966793
gov_spending_pct_gdp_qoq_pct,0.001090133296309288,0.031019906511368087
gov_spending_pct_gdp_yoy_pct,0.007827413240128155,0.11756482688228681
gdp_growth_lag1,6.584544715447154,1.3508914335931526
gdp_growth_lag4,6.5210833333333325,1.2903925483214174
gdp_growth_diff1,-0.0029918699186991886,0.43912722265463155
gdp_growth_diff4,-0.009758333333333334,1.3823877251022743
gdp_growth_qoq_pct,0.0033829453968346433,0.09002734010546393
gdp_growth_yoy_pct,0.03797763833819209,0.3339589673346453
log_gdp_lag1,4.787739331634764,1.0429049909378514
