month,topic,n_comments,n_unique_authors,like_sum,like_mean,avg_sentiment,median_sentiment,std_sentiment,positive_ratio,negative_ratio,neutral_ratio,net_sentiment,weighted_sentiment_like,p10_sentiment,p90_sentiment,was_missing_period,month_end
2019-07,all,3054.0,2062.0,9337.0,3.0573018991486576,0.02889718402095612,0.0,0.20095602131082113,0.09070072036673216,0.03700065487884741,0.8722986247544204,0.053700065487884745,0.009376329594060205,0.0,0.0,0,2019-07-31
2019-08,all,510.0,388.0,1896.0,3.7176470588235295,0.036242156862745095,0.0,0.18519286279845698,0.09215686274509804,0.025490196078431372,0.8823529411764706,0.06666666666666668,0.11680054031587699,0.0,0.0,0,2019-08-31
2019-09,all,194.0,156.0,594.0,3.0618556701030926,0.022416494845360825,0.0,0.20870428700826804,0.08247422680412371,0.041237113402061855,0.8762886597938144,0.041237113402061855,0.019932233502538074,0.0,0.0,0,2019-09-30
2019-10,all,178.0,143.0,135.0,0.7584269662921348,0.037405056179775284,0.0,0.19788047590061075,0.07865168539325842,0.02247191011235955,0.898876404494382,0.056179775280898875,0.04600479233226837,0.0,0.0,0,2019-10-31
2019-11,all,89.0,75.0,30.0,0.33707865168539325,-0.008742696629213483,0.0,0.1493070660567133,0.056179775280898875,0.056179775280898875,0.8876404494382022,0.0,0.02641260504201681,0.0,0.0,0,2019-11-30
2019-12,all,85.0,76.0,174.0,2.0470588235294116,0.02115882352941176,0.0,0.22810835003511443,0.10588235294117647,0.058823529411764705,0.8352941176470589,0.047058823529411764,-0.004954440154440154,0.0,0.12138000000000172,0,2019-12-31
2020-01,all,112.0,94.0,137.0,1.2232142857142858,-0.01791696428571429,0.0,0.17395234611418536,0.026785714285714284,0.05357142857142857,0.9196428571428571,-0.026785714285714284,0.04574779116465863,0.0,0.0,0,2020-01-31
2020-02,all,88.0,77.0,52.0,0.5909090909090909,0.02226931818181818,0.0,0.14370780568786695,0.09090909090909091,0.03409090909090909,0.875,0.05681818181818182,0.020552142857142856,0.0,0.0,0,2020-02-29
2020-03,all,50.0,47.0,34.0,0.68,0.019756,0.0,0.19715465405697766,0.06,0.04,0.9,0.019999999999999997,0.01175952380952381,0.0,0.0,0,2020-03-31
2020-04,all,44.0,38.0,28.0,0.6363636363636364,0.06657954545454546,0.0,0.20759153383680853,0.11363636363636363,0.0,0.8863636363636364,0.11363636363636363,0.050783333333333326,0.0,0.20720000000000083,0,2020-04-30
2020-05,all,12.0,11.0,1.0,0.08333333333333333,0.076275,0.0,0.26422435069463224,0.08333333333333333,0.0,0.9166666666666666,0.08333333333333333,0.07040769230769231,0.0,0.0,0,2020-05-31
2020-06,all,53.0,48.0,22.0,0.41509433962264153,0.040901886792452824,0.0,0.22048942630374865,0.11320754716981132,0.03773584905660377,0.8490566037735849,0.07547169811320756,0.12067733333333334,0.0,0.23680000000000126,0,2020-06-30
2020-07,all,80.0,69.0,32.0,0.4,0.02330125,0.0,0.19710132746776965,0.075,0.0375,0.8875,0.0375,0.021053571428571425,0.0,0.0,0,2020-07-31
2020-08,all,46.0,34.0,7.0,0.15217391304347827,0.041067391304347826,0.0,0.16396882637914623,0.06521739130434782,0.0,0.9347826086956522,0.06521739130434782,0.05005094339622641,0.0,0.0,0,2020-08-31
2020-09,all,36.0,34.0,8.0,0.2222222222222222,0.061447222222222236,0.0,0.18277687019362646,0.1111111111111111,0.0,0.8888888888888888,0.1111111111111111,0.05027500000000001,0.0,0.1909,0,2020-09-30
2020-10,all,52.0,46.0,13.0,0.25,0.03361730769230769,0.0,0.16801815462266403,0.057692307692307696,0.019230769230769232,0.9230769230769231,0.038461538461538464,0.00867846153846154,0.0,0.0,0,2020-10-31
2020-11,all,31.0,25.0,2.0,0.06451612903225806,0.10906129032258066,0.0,0.28213196637675236,0.16129032258064516,0.0,0.8387096774193549,0.16129032258064516,0.10245151515151517,0.0,0.7506,0,2020-11-30
2020-12,all,6.0,6.0,1.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2020-12-31
2021-01,all,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2021-01-31
2021-02,all,4.0,4.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2021-02-28
2021-03,all,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2021-03-31
2021-04,all,9.0,8.0,1.0,0.1111111111111111,0.06345555555555556,0.0,0.16342336974183888,0.2222222222222222,0.0,0.7777777777777778,0.2222222222222222,0.05711000000000001,0.0,0.16054000000000007,0,2021-04-30
2021-05,all,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2021-05-31
2021-06,all,9.0,9.0,0.0,0.0,-0.09012222222222223,0.0,0.34049013854213817,0.1111111111111111,0.2222222222222222,0.6666666666666666,-0.1111111111111111,-0.09012222222222223,-0.5859800000000001,0.08932000000000008,0,2021-06-30
2021-07,all,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2021-07-31
2021-08,all,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2021-08-31
2021-09,all,3.0,3.0,0.0,0.0,0.09866666666666667,0.0,0.1708956796801292,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.09866666666666667,0.0,0.2368,0,2021-09-30
2021-10,all,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2021-10-31
2021-11,all,1.0,1.0,0.0,0.0,0.4033,0.4033,0.0,1.0,0.0,0.0,1.0,0.4033,0.4033,0.4033,0,2021-11-30
2021-12,all,4.0,4.0,0.0,0.0,0.239875,0.0,0.47975,0.25,0.0,0.75,0.25,0.239875,0.0,0.6716500000000002,0,2021-12-31
2022-01,all,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2022-01-31
2022-02,all,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2022-02-28
2022-03,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,2022-03-31
2022-04,all,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2022-04-30
2022-05,all,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2022-05-31
2022-06,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,2022-06-30
2022-07,all,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2022-07-31
2022-08,all,5.0,3.0,2.0,0.4,0.00258,0.0,0.005769055381949457,0.0,0.0,1.0,0.0,0.0018428571428571428,0.0,0.007740000000000001,0,2022-08-31
2022-09,all,0.0,0.0,0.0,0.2,0.00129,0.0,0.0028845276909747284,0.0,0.0,1.0,0.0,0.0009214285714285714,0.0,0.0038700000000000006,1,2022-09-30
2022-10,all,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2022-10-31
2022-11,all,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2022-11-30
2022-12,all,4.0,3.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2022-12-31
2023-01,all,3.0,3.0,0.0,0.0,-0.23343333333333335,0.0,0.4043183935134949,0.0,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-0.23343333333333335,-0.5602400000000001,0.0,0,2023-01-31
2023-02,all,0.0,0.0,0.0,0.0,0.3110333333333333,0.42775,0.20215919675674746,0.5,0.16666666666666666,0.3333333333333333,0.33333333333333337,0.3110333333333333,0.14762999999999993,0.42775,1,2023-02-28
2023-03,all,1.0,1.0,0.0,0.0,0.8555,0.8555,0.0,1.0,0.0,0.0,1.0,0.8555,0.8555,0.8555,0,2023-03-31
2023-04,all,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2023-04-30
2023-05,all,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2023-05-31
2023-06,all,260.0,228.0,34.0,0.13076923076923078,0.0565623076923077,0.0,0.22057689656823376,0.12307692307692308,0.03461538461538462,0.8423076923076923,0.08846153846153847,0.05764183673469389,0.0,0.4404,0,2023-06-30
