quarter_end,gdp_raw,inflation,interest_rate,fdi_pct_gdp,investment_pct_gdp,export_pct_gdp,unemployment_rate,gov_spending_pct_gdp,gdp_growth,log_gdp,gdp_qoq_pct_recalc,gdp_yoy_pct_recalc,inflation_lag1,inflation_lag2,interest_rate_lag1,interest_rate_lag2,log_gdp_diff1,log_gdp_diff4,inflation_scaled,interest_rate_scaled,fdi_pct_gdp_scaled,investment_pct_gdp_scaled,export_pct_gdp_scaled,unemployment_rate_scaled,gov_spending_pct_gdp_scaled,log_gdp_raw,log_fdi_pct_gdp,log_investment_pct_gdp,log_export_pct_gdp,log_gov_spending_pct_gdp,log_gdp_growth,log_log_gdp,real_interest_rate
1995-06-30,21.703,7.527,24.37,8.864,27.381,34.799,1.949,8.228,9.491,3.0774504998388488,,,,,,,,,0.4291314301785313,3.912711424233673,2.1635003482958877,-1.7434103419812377,-2.101290309509135,0.1976689304149921,-0.0091353499009271,3.0774504998388488,2.1819981300049283,3.30984934220285,3.5495886507353687,2.1075429717907106,2.250343981148355,1.1241014944105905,16.843
1995-09-30,22.681,6.914,22.957,9.145,27.62,36.808,1.943,8.269,9.441,3.1215275695982987,4.506289453071011,,7.527,,24.37,,0.0440770697594499,,0.2920074156875176,3.500753717192457,2.3282000341376183,-1.658207249839323,-1.972394735823426,0.184137685891433,0.0134732625299399,3.1215275695982987,2.2132072818428288,3.318540147981146,3.6057152128531675,2.11251358274003,2.2450619067503794,1.1383224876441371,16.043
1995-12-31,23.669,6.295,21.529,9.429,27.861,38.838,1.936,8.311,9.391,3.164166175062674,4.35606895639522,,6.914,7.527,22.957,24.37,0.0426386054643752,,0.1535412411851726,3.0844227860849855,2.494658079614671,-1.5722911611104469,-1.842151821646229,0.1683512339472804,0.0366333045322913,3.164166175062674,2.2437900464835403,3.327227861461981,3.659399148791428,2.117579938570889,2.2397517838224767,1.151889569089675,15.234
1996-03-31,24.657,5.675,20.1,9.713,28.103,40.868,1.93,8.353,9.34,3.2050608358344728,4.174236342895776,,6.295,6.914,21.529,22.957,0.0408946607717988,,0.0148513733476058,2.667800306706431,2.6611161250917226,-1.4860185740880896,-1.7119089074690317,0.1548199894237213,0.0597933465346426,3.2050608358344728,2.2734651944201936,3.3358763322069263,3.7103473607291773,2.1226207557737693,2.234306252240751,1.1647310717321033,14.425
1996-06-30,25.201,5.062,18.687,9.354,28.152,41.424,2.164,8.297,9.045,3.226883676269729,2.206270024739432,16.11758743030918,5.675,6.295,20.1,21.529,0.0218228404352562,0.1494331764308802,-0.1222726411434077,2.255842599665215,2.450699088731646,-1.46855015770753,-1.676236463980105,0.6825385258425269,0.0289132905315078,3.226883676269729,2.2358040593036943,3.337618400019284,3.7238604230091816,2.1158940036821483,2.2022121188472585,1.1715168654011283,13.625
1996-09-30,25.745,4.449,17.274,8.996,28.201,41.979,2.397,8.242,8.749,3.2482404334981045,2.158644498234197,13.509104536837002,5.062,5.675,18.687,20.1,0.0213567572283754,0.1267128638998058,-0.2593966556344215,1.843884892623999,2.2408681722500106,-1.45108174132697,-1.6406281795622015,1.208001854840738,-0.0014153359001426,3.2482404334981045,2.196780034097069,3.3393574383082494,3.737169493241686,2.1092430329166256,2.1689394081241273,1.1781134446514905,12.825000000000001
1996-12-31,26.294,3.829,15.845,8.633,28.25,42.541,2.634,8.187,8.451,3.2693407762744124,2.1324529034764117,11.090455870547975,4.449,5.062,17.274,18.687,0.0211003427763079,0.1051746012117385,-0.3980865234719883,1.4272624132454443,2.028106656376172,-1.4336133249464105,-1.6045707816471353,1.7424860135213232,-0.0317439623317942,3.2693407762744124,2.1555920692533856,3.34109345759245,3.750468316783058,2.102547530394311,2.1342847775623452,1.184588367116062,12.016
1997-03-31,26.844,3.21,14.417,8.27,28.3,43.103,2.87,8.131,8.152,3.290042332295993,2.091731954057962,8.869692176663824,3.829,4.449,15.845,17.274,0.0207015560215806,0.0849814964615203,-0.5365526979743334,1.010931482137973,1.8153451405023344,-1.4157884102723697,-1.5685133837320686,2.274714964781315,-0.062624018334929,3.290042332295993,2.1126345090356,3.342861804649192,3.7635926002557922,2.0956839172257005,2.0982632959204235,1.1909004316537704,11.207
1997-06-30,26.934,4.21,14.413,7.745,28.485,43.533,2.727,8.006,7.563,3.29338942902785,0.3352704514975491,6.876711241617395,3.21,3.829,14.417,15.845,0.0033470967318569,0.0665057527581209,-0.3128593627524513,1.0097652890536384,1.507632204321164,-1.3498362259784191,-1.5409249831920713,1.9522203036364891,-0.1315527147704988,3.29338942902785,2.047047473868832,3.349377632932359,3.7735192711770655,2.080191260570382,2.0232679368738924,1.1919172560522275,10.203
1997-09-30,27.025,5.221,14.408,7.214,28.672,43.968,2.582,7.879,6.968,3.296762363525272,0.3378629241850284,4.971839192076111,4.21,3.21,14.413,14.417,0.0033729344974218,0.0485219300271673,-0.0867054008431285,1.00830754769822,1.1964025488693515,-1.283171045097507,-1.5130157872969574,1.6252152276504774,-0.201584270349038,3.296762363525272,1.9760235824813472,3.35592103679252,3.783462096599884,2.064200992263551,1.9413282395502016,1.1929408849148437,9.187
1997-12-31,27.117,6.244,14.404,6.678,28.861,44.408,2.436,7.752,6.366,3.3001608374843836,0.3404255319149118,3.1299916330721933,5.221,4.21,14.408,14.413,0.0033984739591117,0.0308200612099711,0.1421328810888566,1.0071413546138854,0.8822422940253375,-1.215792867629633,-1.4847857960467277,1.2959549442438727,-0.2716158259275769,3.3001608374843836,1.8988185415214627,3.362491202780076,3.79341963338786,2.047950874588465,1.850971328859901,1.1939712059163774,8.16
1998-03-31,27.21,7.266,14.4,6.141,29.05,44.848,2.29,7.624,5.764,3.303584552795155,0.3429582918464513,1.3634331694233337,6.244,5.221,14.404,14.408,0.0034237153107712,0.0135422204991617,0.3707474696856201,1.005975161529551,0.5674959193028831,-1.1484146901617591,-1.456555804796498,0.966694660837268,-0.3421988110776004,3.303584552795155,1.814987595347262,3.3690184832979204,3.8032789944224326,2.031301166351901,1.7516316781372756,1.1950081070732772,7.134
1998-06-30,27.573,6.49,13.981,5.841,28.7,46.11,2.3,7.417,5.52,3.316837033044082,1.3340683572216072,2.3724660280686205,7.266,6.244,14.4,14.404,0.0132524802489273,0.0234476040162321,0.1971614415534397,0.8838164359454959,0.3916599557707858,-1.2731890928800444,-1.3755870571651567,0.9892467350431994,-0.4563447323749039,3.316837033044082,1.7649020150581725,3.3568971227655755,3.8310298462186143,2.003774662754421,1.7083778602890038,1.199011627930125,7.491
1998-09-30,27.941,5.705,13.557,5.537,28.346,47.386,2.31,7.208,5.273,3.3300951441690065,1.3346389584013352,3.38945420906569,6.49,7.266,13.981,14.4,0.0132581111249243,0.0333327806437346,0.0215621734042623,0.7601999690060228,0.2134795127249269,-1.3993894887722522,-1.2937200825394897,1.0117988092491317,-0.5715935128151765,3.3300951441690065,1.71145283784083,3.3444859267447136,3.8583268264242854,1.9751915203060368,1.6625994605483327,1.2030008754067103,7.852
1998-12-31,28.312,4.911,13.128,5.23,27.988,48.676,2.32,6.997,5.023,3.3432857430431624,1.32779785977597,4.406829664048373,5.705,6.49,13.557,13.981,0.0131905988741558,0.0431249055587787,-0.1560503347619121,0.6351257607111312,0.0335407100437475,-1.527015877838384,-1.2109548809194977,1.034350883455063,-0.6879451523984184,3.3432857430431624,1.6544112780768316,3.3317758468836502,3.8851860954745536,1.9454814857637597,1.6140273647679075,1.206954078820525,8.217
1999-03-31,28.684,4.117,12.7,4.923,27.63,49.966,2.33,6.785,4.774,3.3563394760203287,1.313930488838655,5.417126056596833,4.911,5.705,13.128,13.557,0.0130537329771662,0.0527549232251738,-0.3336628429280863,0.5103431006873231,-0.1463980926374324,-1.6546422669045155,-1.1281896792995054,1.0569029576609954,-0.8048482215531446,3.3563394760203287,1.5939181007760634,3.318902138935325,3.911342774123282,1.9147142932868324,1.5631845279166383,1.2108509384415647,8.582999999999998
1999-06-30,29.297,2.68,12.17,4.736,28.118,50.942,2.313,6.695,5.27,3.377485121702404,2.1370799051736222,6.252493381206259,4.117,4.911,12.7,13.128,0.0211456456820751,0.0606480886583216,-0.6551101656419307,0.3558225170129818,-0.2560025099057733,-1.4806710996858783,-1.065570425980814,1.0185644315109117,-0.8544768829867548,3.377485121702404,1.5551928975817044,3.3364099406577155,3.930687730657301,1.9013609791431358,1.6620303625532709,1.2171313857210941,9.49
1999-09-30,29.918,1.227,11.634,4.546,28.612,51.928,2.295,6.603,5.772,3.3984603059522693,2.119670956070574,7.075623635517703,2.68,4.117,12.17,12.7,0.0209751842498655,0.0683651617832628,-0.9801365817193252,0.1995526437121385,-0.3673652868094347,-1.3045609427063565,-1.0023095819518897,0.9779706979402336,-0.9052084035633344,3.3984603059522693,1.5142477254303515,3.353826210246137,3.9498581437311673,1.8875240912124343,1.7530186409116244,1.2233224778635399,10.407
1999-12-31,30.545,-0.242,11.092,4.355,29.111,52.925,2.278,6.511,6.28,3.4192010061017304,2.095728324085844,7.887115004238487,1.227,2.68,11.634,12.17,0.020740700149461,0.075915263058568,-1.30874209116027,0.0415334807847931,-0.4793141835915366,-1.1266682942594295,-0.9383429881417096,0.9396321717901496,-0.9559399241399136,3.4192010061017304,1.4713246103044662,3.3711161096237006,3.968875817020929,1.873493054254725,1.8373699804801074,1.2294068998333259,11.334
2000-03-31,31.173,-1.71,10.55,4.164,29.61,53.921,2.26,6.418,6.787,3.4395523355386195,2.0559829759371206,8.677311393111143,-0.242,1.227,11.092,11.634,0.0203513294368891,0.0832128595182908,-1.6371239072659929,-0.1164856821425522,-0.5912630803736391,-0.9487756458125036,-0.8744405534025528,0.8990384382194718,-1.0072228742879776,3.4395523355386195,1.4264761507527224,3.3881121421135,3.987520012426142,1.8591065426876652,1.9150090177216212,1.2353413278991676,12.260000000000002
2000-06-30,31.549,-1.392,10.269,4.118,29.998,54.205,2.384,6.396,6.64,3.4515418927638244,1.2061720078272886,7.686793869679476,-1.71,-0.242,10.55,11.092,0.0119895572252048,0.0740567710614206,-1.5659894266654342,-0.1984107463170617,-0.6182245947818937,-0.8104543079419473,-0.85621937723195,1.178684158373027,-1.019354324860638,3.4515418927638244,1.4153676086055977,3.401130712773168,3.9927731551132553,1.8556727949717078,1.8931119634883424,1.2388210566406308,11.661
2000-09-30,31.925,-1.074,9.988,4.071,30.387,54.489,2.509,6.374,6.492,3.463389401918603,1.1917968873815354,6.708336118724523,-1.392,-1.71,10.269,10.55,0.0118475091547787,0.0649290959663337,-1.494854946064876,-0.2803358104915713,-0.6457722290685893,-0.6717764717779109,-0.8379982010613471,1.460585085947175,-1.0314857754332984,3.463389401918603,1.4038886695208417,3.4140148853727696,3.997998846435416,1.8522272159951447,1.8705706496523449,1.2422477055088845,11.062
2000-12-31,32.305,-0.753,9.704,4.024,30.78,54.775,2.634,6.352,6.342,3.475222017010129,1.1902897415818403,5.761990505811099,-1.074,-1.392,9.988,10.269,0.0118326150915257,0.0560210109083985,-1.4230493854586517,-0.3631355194793313,-0.6733198633552844,-0.5316726424399507,-0.8196487067486976,1.7424860135213232,-1.0436172260059582,3.475222017010129,1.3922764327974382,3.426865128410733,4.003233885481531,1.8487697239448346,1.8471941761161554,1.2456583667629775,10.457
2001-03-31,32.685,-0.432,9.42,3.977,31.173,55.062,2.76,6.329,6.193,3.486916257064693,1.17628850023217,4.850351265518249,-0.753,-1.074,9.704,9.988,0.011694240054564,0.0473639215260734,-1.3512438248524277,-0.4459352284670919,-0.7008674976419798,-0.3915688131019919,-0.801235053365025,2.026642148516064,-1.0563001061501034,3.486916257064693,1.3805277662255535,3.4395523355386195,4.008459823064931,1.8451422457931683,1.8234196219559238,1.2490177516508132,9.852
2001-06-30,33.272,0.619,9.332,3.981,31.678,54.982,2.602,6.305,6.224,3.5047162024406107,1.7959308551323216,5.461345842974419,-0.432,-0.753,9.42,9.704,0.0177999453759176,0.0531743096767862,-1.1161421295342298,-0.471591476322454,-0.6985230181282185,-0.2115371748941799,-0.8063677790468848,1.6703193760623412,-1.069534415865733,3.5047162024406107,1.3815330440181801,3.4556224336402286,4.007005858939792,1.8413429694168828,1.8284127868760904,1.2541095478618856,8.713000000000001
2001-09-30,33.865,1.682,9.242,3.985,32.188,54.902,2.443,6.281,6.256,3.522382032666867,1.782279394085129,6.076742364917775,0.619,-0.432,9.332,9.42,0.0176658302262562,0.0589926307482637,-0.878356114193369,-0.4978308207199836,-0.6961785386144571,-0.0297230452189642,-0.8115005047287447,1.311741396188025,-1.0827687255813625,3.522382032666867,1.3825373122421782,3.4715937122838865,4.005549777724429,1.8375292034722437,1.83354100324301,1.2591374745682653,7.5600000000000005
2001-12-31,34.464,2.756,9.152,3.989,32.704,54.82,2.281,6.257,6.289,3.539915300973978,1.7687878340469476,6.683175978950628,1.682,0.619,9.242,9.332,0.0175332683071109,0.0646932839638489,-0.6381094721650677,-0.5240701651175138,-0.6938340591006958,0.1542300742171352,-0.8167615485526513,0.9463977940519296,-1.0960030352969916,3.539915300973978,1.3835405729232695,3.487497394581239,4.0040550908746395,1.8337008370162264,1.8388020755613663,1.2641028005809078,6.395999999999999
