month,topic,n_comments,avg_sentiment,positive_ratio,negative_ratio,neutral_ratio,median_sentiment,p10_sentiment,p90_sentiment
2019-07,all,3054,0.02889718402095612,0.09070072036673216,0.03700065487884741,0.8722986247544204,0.0,0.0,0.0
2019-07,inflation,3054,0.02889718402095612,0.09070072036673216,0.03700065487884741,0.8722986247544204,0.0,0.0,0.0
2019-08,all,510,0.036242156862745095,0.09215686274509804,0.025490196078431372,0.8823529411764706,0.0,0.0,0.0
2019-08,inflation,510,0.036242156862745095,0.09215686274509804,0.025490196078431372,0.8823529411764706,0.0,0.0,0.0
2019-09,all,194,0.022416494845360825,0.08247422680412371,0.041237113402061855,0.8762886597938144,0.0,0.0,0.0
2019-09,inflation,194,0.022416494845360825,0.08247422680412371,0.041237113402061855,0.8762886597938144,0.0,0.0,0.0
2019-10,all,178,0.037405056179775284,0.07865168539325842,0.02247191011235955,0.898876404494382,0.0,0.0,0.0
2019-10,inflation,178,0.037405056179775284,0.07865168539325842,0.02247191011235955,0.898876404494382,0.0,0.0,0.0
2019-11,all,89,-0.008742696629213485,0.056179775280898875,0.056179775280898875,0.8876404494382022,0.0,0.0,0.0
2019-11,inflation,89,-0.008742696629213485,0.056179775280898875,0.056179775280898875,0.8876404494382022,0.0,0.0,0.0
2019-12,all,85,0.021158823529411765,0.10588235294117647,0.058823529411764705,0.8352941176470589,0.0,0.0,0.12138000000000172
2019-12,inflation,85,0.021158823529411765,0.10588235294117647,0.058823529411764705,0.8352941176470589,0.0,0.0,0.12138000000000172
2020-01,all,112,-0.017916964285714286,0.026785714285714284,0.05357142857142857,0.9196428571428571,0.0,0.0,0.0
2020-01,inflation,112,-0.017916964285714286,0.026785714285714284,0.05357142857142857,0.9196428571428571,0.0,0.0,0.0
2020-02,all,88,0.022269318181818182,0.09090909090909091,0.03409090909090909,0.875,0.0,0.0,0.0
2020-02,inflation,88,0.022269318181818182,0.09090909090909091,0.03409090909090909,0.875,0.0,0.0,0.0
2020-03,all,50,0.019756000000000003,0.06,0.04,0.9,0.0,0.0,0.0
2020-03,inflation,50,0.019756000000000003,0.06,0.04,0.9,0.0,0.0,0.0
2020-04,all,44,0.06657954545454546,0.11363636363636363,0.0,0.8863636363636364,0.0,0.0,0.20720000000000083
2020-04,inflation,44,0.06657954545454546,0.11363636363636363,0.0,0.8863636363636364,0.0,0.0,0.20720000000000083
2020-05,all,12,0.076275,0.08333333333333333,0.0,0.9166666666666666,0.0,0.0,0.0
2020-05,inflation,12,0.076275,0.08333333333333333,0.0,0.9166666666666666,0.0,0.0,0.0
2020-06,all,53,0.04090188679245283,0.11320754716981132,0.03773584905660377,0.8490566037735849,0.0,0.0,0.23680000000000126
2020-06,inflation,53,0.04090188679245283,0.11320754716981132,0.03773584905660377,0.8490566037735849,0.0,0.0,0.23680000000000126
2020-07,all,80,0.02330125,0.075,0.0375,0.8875,0.0,0.0,0.0
2020-07,inflation,80,0.02330125,0.075,0.0375,0.8875,0.0,0.0,0.0
2020-08,all,46,0.041067391304347826,0.06521739130434782,0.0,0.9347826086956522,0.0,0.0,0.0
2020-08,inflation,46,0.041067391304347826,0.06521739130434782,0.0,0.9347826086956522,0.0,0.0,0.0
2020-09,all,36,0.06144722222222222,0.1111111111111111,0.0,0.8888888888888888,0.0,0.0,0.1909
2020-09,inflation,36,0.06144722222222222,0.1111111111111111,0.0,0.8888888888888888,0.0,0.0,0.1909
2020-10,all,52,0.03361730769230769,0.057692307692307696,0.019230769230769232,0.9230769230769231,0.0,0.0,0.0
2020-10,inflation,52,0.03361730769230769,0.057692307692307696,0.019230769230769232,0.9230769230769231,0.0,0.0,0.0
2020-11,all,31,0.10906129032258065,0.16129032258064516,0.0,0.8387096774193549,0.0,0.0,0.7506
2020-11,inflation,31,0.10906129032258065,0.16129032258064516,0.0,0.8387096774193549,0.0,0.0,0.7506
2020-12,all,6,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-12,inflation,6,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-01,all,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-01,inflation,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-02,all,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-02,inflation,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-03,all,9,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-03,inflation,9,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-04,all,9,0.06345555555555554,0.2222222222222222,0.0,0.7777777777777778,0.0,0.0,0.16054000000000007
