variable,coef,std_err,t_or_z,p_value,ci_low,ci_high
const,-0.9105309822597266,1.2745027901579062,-0.7144205483825697,0.47496716947372886,-3.4085105491650327,1.5874485846455797
gdp_growth_lag1,0.9725908775159234,0.13363163242196213,7.278148593177552,3.3843245341829677e-13,0.7106776907735827,1.2345040642582643
inflation,-0.738169665523753,0.4837313101799261,-1.5259910822170832,0.127012085422193,-1.6862656116707817,0.20992628062327578
interest_rate,0.34771604676282986,0.22162857048241127,1.56891345734879,0.11666810572977224,-0.08666796932779314,0.7821000628534529
net_sentiment,14.669880216977193,4.868383032741079,3.0132962255267555,0.002584265292026858,5.128024809858795,24.21173562409559
avg_sentiment,-14.108100444222673,7.091630737345336,-1.9894014461198335,0.04665691016208823,-28.00744128107676,-0.20875960736858623
