series,adf_stat,adf_p,kpss_stat,kpss_p,note
log_gdp,-1.060258787300586,0.7306573727590431,1.8524287667166797,0.01,check differencing / stability
log_gdp_diff1,-2.0397216363796966,0.2694325735652614,0.4228742790185725,0.06729556938854633,check differencing / stability
gdp_growth,-2.90692162922349,0.04454900639217526,0.14040347909754197,0.1,stationary
gdp_qoq_pct_recalc,-2.2290037212537177,0.19588765763616522,0.3448796685955193,0.1,check differencing / stability
inflation,-2.1152084982446033,0.23844332506376853,0.2885757316312645,0.1,check differencing / stability
interest_rate,-2.345579544838217,0.15768857853230805,0.7111543191655978,0.0125314255304002,check differencing / stability
avg_sentiment,3.9091636913469823,1.0,0.6745175036449405,0.01586204512318723,check differencing / stability
net_sentiment,-4.978511732265434,2.4472148352246993e-05,0.18284860195356056,0.1,stationary
n_comments,-0.7737424588379069,0.826713620269091,1.0636341083910665,0.01,check differencing / stability
