model,target,horizon,n_forecasts,RMSE,MAE,MAPE,Bias,Directional_Accuracy_pct,Coverage80_pct,Coverage95_pct,AvgWidth80,AvgWidth95
gdp_growth_macro_plus_sentiment,gdp_growth,1,10,0.44631134392701244,0.3681181751685284,5.799801824621946,-0.2963592707169064,70.0,80.0,90.0,1.13220710583082,1.7315613433984047
gdp_growth_macro_only,gdp_growth,1,10,0.4557150660338052,0.2575994360131203,4.0856423587210084,-0.24522768145175,80.0,90.0,90.0,1.1873377164574217,1.8158763363951334
gdp_growth_macro_only,gdp_growth,2,10,1.1024974524280617,0.7315320521671956,11.03565619325528,-0.7246070908304453,80.0,80.0,80.0,2.100706693091102,3.212753642723014
gdp_growth_macro_plus_sentiment,gdp_growth,2,10,1.2349443101825048,0.9151654195159654,13.855927512745348,-0.840197202319534,60.0,70.0,70.0,2.0278851791403847,3.101382747879283
gdp_growth_macro_only,gdp_growth,4,10,2.6402267024990067,1.8545658660395739,24.64250659169633,-1.8545658660395739,60.0,80.0,80.0,3.0870047107304837,4.721166292334158
gdp_growth_macro_plus_sentiment,gdp_growth,4,10,3.2040601427138258,2.230125650771469,30.151081767586934,-2.230125650771469,50.0,60.0,70.0,3.0456352884349895,4.657897220733483
