model,target,origin_end,forecast_date,horizon,actual,prediction,prev_actual,error,abs_error,ape,pred_direction,actual_direction,lower80,upper80,lower95,upper95
final_macro_baseline,gdp_qoq_pct_recalc,2022-10-01,2023-01-01,1,1.2001035657887682,1.4323334626523756,1.2146809957314986,0.2322298968636074,0.2322298968636074,19.350821336071462,1.0,-1.0,0.21903128646277037,2.6456356388419806,-0.4232520881991382,3.287919013503889
final_macro_baseline,gdp_qoq_pct_recalc,2022-10-01,2023-04-01,2,2.417150311853189,1.9811077966626214,1.2146809957314986,-0.4360425151905676,0.4360425151905676,18.039528326075054,1.0,1.0,0.3859469902067749,3.576268603118468,-0.45848013273507426,4.420695726060317
final_macro_baseline,gdp_qoq_pct_recalc,2022-10-01,2023-10-01,4,2.356313248986708,2.2035973124630153,1.2146809957314986,-0.15271593652369253,0.15271593652369253,6.481138982236994,1.0,1.0,0.2910454674665943,4.116149157459436,-0.7213983221571674,5.128592947083198
final_macro_baseline,gdp_qoq_pct_recalc,2023-01-01,2023-04-01,1,2.417150311853189,1.7803085576914377,1.2001035657887682,-0.6368417541617513,0.6368417541617513,26.34679982617611,1.0,1.0,0.5723618358434917,2.9882552795393837,-0.0670865325397576,3.6277036479226332
final_macro_baseline,gdp_qoq_pct_recalc,2023-01-01,2023-07-01,2,2.3862089142445475,1.9402258526566258,1.2001035657887682,-0.44598306158792167,0.44598306158792167,18.69002579470775,1.0,1.0,0.3519022193709356,3.528549485942316,-0.4889055227249426,4.3693572280381945
final_macro_baseline,gdp_qoq_pct_recalc,2023-01-01,2024-01-01,4,2.3020692854136326,2.197148306199913,1.2001035657887682,-0.10492097921371979,0.10492097921371979,4.557681207881966,1.0,1.0,0.29253125584537965,4.101765356554446,-0.715712107223601,5.110008719623426
final_macro_baseline,gdp_qoq_pct_recalc,2023-04-01,2023-07-01,1,2.3862089142445475,2.490730358822145,2.417150311853189,0.10452144457759749,0.10452144457759749,4.380230245292167,1.0,-1.0,1.2858486940576674,3.6956120235866226,0.6480228688839622,4.333437848760328
final_macro_baseline,gdp_qoq_pct_recalc,2023-04-01,2023-10-01,2,2.356313248986708,2.5363530162410663,2.417150311853189,0.18003976725435855,0.18003976725435855,7.640739928436152,1.0,-1.0,0.9525810123579179,4.120125020124215,0.1141827573216081,4.958523275160525
final_macro_baseline,gdp_qoq_pct_recalc,2023-04-01,2024-04-01,4,2.2259166897570903,2.22125691959639,2.417150311853189,-0.004659770160700294,0.004659770160700294,0.20934162460540268,-1.0,-1.0,0.32218587723759384,4.120327961955186,-0.6831216065415378,5.125635445734318
final_macro_baseline,gdp_qoq_pct_recalc,2023-07-01,2023-10-01,1,2.356313248986708,2.446090335795925,2.3862089142445475,0.08977708680921737,0.08977708680921737,3.8100658665745932,1.0,-1.0,1.2466819363098967,3.6454987352819535,0.611753482757581,4.2804271888342695
final_macro_baseline,gdp_qoq_pct_recalc,2023-07-01,2024-01-01,2,2.3020692854136326,2.469460634239826,2.3862089142445475,0.16739134882619355,0.16739134882619355,7.27134278220114,1.0,-1.0,0.8933024801493226,4.04561878833033,0.058934753727365674,4.879986514752287
final_macro_baseline,gdp_qoq_pct_recalc,2023-07-01,2024-07-01,4,2.1772431579984985,2.219104199907793,2.3862089142445475,0.04186104190929463,0.04186104190929463,1.9226626918316625,-1.0,-1.0,0.32920314453600974,4.109005255279577,-0.6712500413582192,5.109458441173805
final_macro_baseline,gdp_qoq_pct_recalc,2023-10-01,2024-01-01,1,2.3020692854136326,2.3918812400488845,2.356313248986708,0.08981195463525182,0.08981195463525182,3.9013575831239384,1.0,-1.0,1.197887613173547,3.5858748669242217,0.565825567094713,4.217936913003056
final_macro_baseline,gdp_qoq_pct_recalc,2023-10-01,2024-04-01,2,2.2259166897570903,2.099486529772766,2.356313248986708,-0.1264301599843245,0.1264301599843245,5.6799142827812465,-1.0,-1.0,0.5303097327588504,3.6686633267866813,-0.30036228646759744,4.49933534601313
final_macro_baseline,gdp_qoq_pct_recalc,2023-10-01,2024-10-01,4,2.1543624835458575,2.216874839926346,2.356313248986708,0.06251235638048858,0.06251235638048858,2.901663803465409,-1.0,-1.0,0.3354499562911484,4.098299723561544,-0.660516215325825,5.094265895178517
final_macro_baseline,gdp_qoq_pct_recalc,2024-01-01,2024-04-01,1,2.2259166897570903,2.021699955239622,2.3020692854136326,-0.20421673451746836,0.20421673451746836,9.17450035112294,-1.0,-1.0,0.8330542958817628,3.210345614597481,0.2038232927962711,3.839576617682973
final_macro_baseline,gdp_qoq_pct_recalc,2024-01-01,2024-07-01,2,2.1772431579984985,2.104908955286073,2.3020692854136326,-0.07233420271242563,0.07233420271242563,3.322284075009849,-1.0,-1.0,0.5424538279408304,3.667364082631315,-0.2846599542999093,4.494477864872055
final_macro_baseline,gdp_qoq_pct_recalc,2024-01-01,2025-01-01,4,2.108928518733455,2.2144035974102256,2.3020692854136326,0.10547507867677064,0.10547507867677064,5.001358639699893,-1.0,-1.0,0.34088328598595896,4.087923908834492,-0.6508984578647676,5.0797056526852185
