model,target,horizon,n_forecasts,RMSE,MAE,MAPE,Bias,Directional_Accuracy_pct,Coverage80_pct,Coverage95_pct,AvgWidth80,AvgWidth95
gdp_qoq_pct_recalc_macro_only,gdp_qoq_pct_recalc,1,10,0.5119089182208101,0.23528145894754848,11.664594804716474,-0.22135877273295784,80.0,90.0,90.0,1.4980116990694268,2.291011191069822
gdp_qoq_pct_recalc_macro_plus_sentiment,gdp_qoq_pct_recalc,1,10,0.627132812366006,0.45053217388903644,26.064774610891728,-0.2505412013290673,60.0,80.0,90.0,1.2587185810947195,1.9250439482461483
gdp_qoq_pct_recalc_macro_plus_sentiment,gdp_qoq_pct_recalc,2,10,0.6755360729167424,0.5491820909105622,23.96077143506023,-0.2448987770093724,40.0,90.0,90.0,1.485246407267768,2.2714883619804107
gdp_qoq_pct_recalc_macro_only,gdp_qoq_pct_recalc,2,10,0.8817556228535861,0.4432213090626399,18.5582430004853,-0.42171861585327586,70.0,80.0,80.0,1.8114756238477434,2.7704128940804935
gdp_qoq_pct_recalc_macro_plus_sentiment,gdp_qoq_pct_recalc,4,10,1.1748552028453159,0.7479162447815625,33.15678721115262,-0.3279854988266341,40.0,70.0,90.0,1.5981445520461937,2.444151174493203
gdp_qoq_pct_recalc_macro_only,gdp_qoq_pct_recalc,4,10,1.179435113710949,0.5777269248360104,24.93832469298269,-0.5508246609956104,70.0,80.0,80.0,1.9980474599917912,3.0557498943255412
