variable,coef,std_err,t_or_z,p_value,ci_low,ci_high
intercept,2.026440127011608,2.0256968059439906,1.0003669458654603,0.31713296013024495,-1.9438526562364364,5.996732910259652
inflation,0.23602110120654074,0.0887008084420238,2.660867531560411,0.007793961390576277,0.06217071126058771,0.40987149115249377
interest_rate,-0.0633972245222901,0.20559655088211864,-0.3083574323123723,0.757810368913738,-0.4663590595968993,0.3395646105523191
ma.L1,0.8529645794113385,0.20914709523336206,4.078299908777686,4.536622198396388e-05,0.4430438052827801,1.262885353539897
ma.L2,0.6996696074943768,0.18038487284870058,3.878759878502844,0.00010499032559010481,0.3461217533550866,1.053217461633667
ma.L3,0.5157691360067784,0.09438213101549438,5.4646905135264054,4.637151188527126e-08,0.33078355843226864,0.7007547135812882
sigma2,0.8309162216166582,0.0536454636643661,15.489030476375447,4.114483858590612e-54,0.7257730449005486,0.9360593983327679
